# m=1, k=39.4784, p=3
# x0=0, v0=1
# t_start=0, t_end=15, h=0.001
#   t          x(t)               v(t)               KE(t)              PE(x(t)) 
1.5100  -3.161062026678927e-01  4.107083341955098e-01  8.434066788882530e-02  4.156593317610749e-01
1.5200  -3.118036223667596e-01  4.496299473820693e-01  1.010835447914012e-01  3.989164548585358e-01
1.5300  -3.071172924023720e-01  4.874451829466486e-01  1.188014031889458e-01  3.811985964610248e-01
1.5400  -3.020586575348258e-01  5.240790091787104e-01  1.373294039308694e-01  3.626705957191308e-01
1.5500  -2.966398773345347e-01  5.594635490173707e-01  1.564997313395560e-01  3.435002683104686e-01
1.5600  -2.908737531470464e-01  5.935383667571946e-01  1.761438964063990e-01  3.238561032436433e-01
1.5700  -2.847736525224969e-01  6.262506883700433e-01  1.960949623419765e-01  3.039050373080762e-01
1.5800  -2.783534317734074e-01  6.575555556164610e-01  2.161896543610363e-01  2.838103452890194e-01
1.5900  -2.716273573184734e-01  6.874159149758593e-01  2.362703200810489e-01  2.637296795690011e-01
1.6000  -2.646100264556422e-01  7.158026432281770e-01  2.561867120262224e-01  2.438132876238136e-01
1.6100  -2.573162881856894e-01  7.426945122585071e-01  2.757975692694509e-01  2.242024303805622e-01
1.6200  -2.497611646784084e-01  7.680780963202523e-01  2.949719810234713e-01  2.050280186265104e-01
1.6300  -2.419597739381915e-01  7.919476255737199e-01  3.135905208259264e-01  1.864094788240156e-01
1.6400  -2.339272541850708e-01  8.143047902101225e-01  3.315461456795758e-01  1.684538539703188e-01
1.6500  -2.256786904221044e-01  8.351584998723013e-01  3.487448599544763e-01  1.512551396953639e-01
1.6600  -2.172290436112594e-01  8.545246033920272e-01  3.651061489011507e-01  1.348938507486286e-01
1.6700  -2.085930828285879e-01  8.724255740803544e-01  3.805631911547179e-01  1.194368084949948e-01
1.6800  -1.997853207164133e-01  8.888901659350131e-01  3.950628635479876e-01  1.049371361016540e-01
1.6900  -1.908199524963261e-01  9.039530461717321e-01  4.085655548415768e-01  9.143444480798983e-02
1.7000  -1.817107987528333e-01  9.176544094505559e-01  4.210448075920242e-01  7.895519205746472e-02
1.7100  -1.724712521442748e-01  9.300395790607631e-01  4.324868093097607e-01  6.751319033964907e-02
1.7200  -1.631142281457935e-01  9.411586001568558e-01  4.428897553246062e-01  5.711024432472395e-02
1.7300  -1.536521198793056e-01  9.510658299118833e-01  4.522631064129896e-01  4.773689323626084e-02
1.7400  -1.440967570380874e-01  9.598195291820599e-01  4.606267642996356e-01  3.937323534953643e-02
1.7500  -1.344593688691681e-01  9.674814599673431e-01  4.680101876902709e-01  3.198981195882477e-02
1.7600  -1.247505511355438e-01  9.741164926154056e-01  4.744514705926697e-01  2.554852905635245e-02
1.7700  -1.149802369425206e-01  9.797922263600108e-01  4.799964034177533e-01  2.000359623119875e-02
1.7800  -1.051576712784148e-01  9.845786264175400e-01  4.846975357991249e-01  1.530246384976104e-02
1.7900  -9.529138908945398e-02  9.885476804950916e-01  4.886132583061128e-01  1.138674134271184e-02
1.8000  -8.538919668202623e-02  9.917730771973217e-01  4.918069183267223e-01  8.193081322046101e-03
1.8100  -7.545815622234170e-02  9.943299084634167e-01  4.943459834324334e-01  5.654016216284485e-03
1.8200  -6.550457308397201e-02  9.962943978259186e-01  4.963012635696548e-01  3.698736079018125e-03
1.8300  -5.553398577742797e-02  9.977436559644537e-01  4.977462015086571e-01  2.253798139977017e-03
1.8400  -4.555115818269626e-02  9.987554647338173e-01  4.987562391678316e-01  1.243760480769717e-03
1.8500  -3.556007379521118e-02  9.994080905807254e-01  4.994082657591057e-01  5.917338894691696e-04
1.8600  -2.556393168779213e-02  9.997801280295340e-01  4.997801522013757e-01  2.198474471792352e-04
1.8700  -1.556514388530682e-02  9.999503737163860e-01  4.999503749477699e-01  4.962470077134383e-05
