# Spherical Bessel functions via up and down recursion
#     logx                 Up Recursion             Down Recursion           Compare Up/Down         Compare Down/GSL         Compare Up/GSL
1.2576785749         -4.2346121083e-02         -4.2346121083e-02                     -inf         6.3128600344e-01         6.3128600344e-01
1.2600713880         -3.8338981463e-02         -3.8338981463e-02        -1.6043380319e+01         6.5644060341e-01         6.5644060341e-01
1.2624510897         -3.4121130643e-02         -3.4121130643e-02                     -inf         6.8206799976e-01         6.8206799976e-01
1.2648178230         -2.9721390060e-02         -2.9721390060e-02                     -inf         7.0882752169e-01         7.0882752169e-01
1.2671717284         -2.5169790277e-02         -2.5169790277e-02        -1.6161649341e+01         7.3754598404e-01         7.3754598404e-01
1.2695129442         -2.0497372158e-02         -2.0497372158e-02        -1.6072467931e+01         7.6933313243e-01         7.6933313243e-01
1.2718416065         -1.5735978968e-02         -1.5735978968e-02        -1.5355603519e+01         8.0577814705e-01         8.0577814705e-01
1.2741578493         -1.0918040835e-02         -1.0918040835e-02        -1.5254846414e+01         8.4931047424e-01         8.4931047424e-01
1.2764618042         -6.0763531298e-03         -6.0763531298e-03        -1.4784744905e+01         9.0391930194e-01         9.0391930194e-01
1.2787536010         -1.2438503520e-03         -1.2438503520e-03        -1.3675842494e+01         9.7673856509e-01         9.7673856509e-01
1.2810333672          3.5466228015e-03          3.5466228015e-03        -1.4428344898e+01         1.0000000000e+00         1.0000000000e+00
1.2833012287          8.2625415014e-03          8.2625415014e-03        -1.4978913394e+01         1.0000000000e+00         1.0000000000e+00
1.2855573090          1.2871930244e-02          1.2871930244e-02        -1.5326345377e+01         1.0000000000e+00         1.0000000000e+00
1.2878017299          1.7343589965e-02          1.7343589965e-02        -1.5698878746e+01         1.0000000000e+00         1.0000000000e+00
1.2900346114          2.1647321060e-02          2.1647321060e-02        -1.6096173903e+01         1.0000000000e+00         1.0000000000e+00
1.2922560714          2.5754140583e-02          2.5754140583e-02        -1.5569556815e+01         1.0000000000e+00         1.0000000000e+00
1.2944662262          2.9636491919e-02          2.9636491919e-02                     -inf         3.2491776437e-01         3.2491776437e-01
1.2966651903          3.3268445267e-02          3.3268445267e-02        -1.5981772254e+01         6.8348652230e-03         6.8348652230e-03
1.2988530764          3.6625887326e-02          3.6625887326e-02        -1.6023527904e+01         1.5553403657e-01         1.5553403657e-01
1.3010299957          3.9686698645e-02          3.9686698645e-02        -1.6058384722e+01         2.5484857947e-01         2.5484857947e-01
1.3031960574          4.2430917188e-02          4.2430917188e-02                     -inf         3.2236260229e-01         3.2236260229e-01
1.3053513694          4.4840886746e-02          4.4840886746e-02        -1.6111413941e+01         3.7156842369e-01         3.7156842369e-01
1.3074960379          4.6901388941e-02          4.6901388941e-02                     -inf         4.0924944673e-01         4.0924944673e-01
1.3096301674          4.8599757697e-02          4.8599757697e-02        -1.5669252598e+01         4.3919283937e-01         4.3919283937e-01
1.3117538611          4.9925975160e-02          4.9925975160e-02                     -inf         4.6368248710e-01         4.6368248710e-01
1.3138672204          5.0872748209e-02          5.0872748209e-02        -1.5865194952e+01         4.8418035270e-01         4.8418035270e-01
1.3159703455          5.1435564829e-02          5.1435564829e-02        -1.6171003262e+01         5.0166834040e-01         5.0166834040e-01
1.3180633350          5.1612729779e-02          5.1612729779e-02        -1.5473526574e+01         5.1683303031e-01         5.1683303031e-01
1.3201462861          5.1405379154e-02          5.1405379154e-02        -1.5869718320e+01         5.3017172010e-01         5.3017172010e-01
1.3222192947          5.0817473588e-02          5.0817473588e-02                     -inf         5.4205650527e-01         5.4205650527e-01
1.3242824553          4.9855770036e-02          4.9855770036e-02                     -inf         5.5277484859e-01         5.5277484859e-01
1.3263358609          4.8529772217e-02          4.8529772217e-02        -1.5668626747e+01         5.6255649031e-01         5.6255649031e-01
1.3283796034          4.6851659995e-02          4.6851659995e-02        -1.5829434736e+01         5.7159228288e-01         5.7159228288e-01
1.3304137733          4.4836198127e-02          4.4836198127e-02        -1.6111368528e+01         5.8004834717e-01         5.8004834717e-01
1.3324384599          4.2500624996e-02          4.2500624996e-02        -1.6088135065e+01         5.8807785464e-01         5.8807785464e-01
1.3344537512          3.9864522081e-02          3.9864522081e-02        -1.5759296315e+01         5.9583231121e-01         5.9583231121e-01
1.3364597338          3.6949665103e-02          3.6949665103e-02        -1.6027350255e+01         6.0347433612e-01         6.0347433612e-01
1.3384564936          3.3779857935e-02          3.3779857935e-02        -1.5289427563e+01         6.1119472980e-01         6.1119472980e-01
1.3404441148          3.0380750488e-02          3.0380750488e-02        -1.4942338246e+01         6.1923865891e-01         6.1923865891e-01
1.3424226808          2.6779641946e-02          2.6779641946e-02        -1.3981748634e+01         6.2795054551e-01         6.2795054551e-01
1.3443922737          2.3005270849e-02          2.3005270849e-02        -1.5277499055e+01         6.3785887345e-01         6.3785887345e-01
1.3463529745          1.9087593603e-02          1.9087593603e-02        -1.5564399669e+01         6.4985323458e-01         6.4985323458e-01
1.3483048630          1.5057553155e-02          1.5057553155e-02        -1.4586341631e+01         6.6560067796e-01         6.6560067796e-01
1.3502480183          1.0946839605e-02          1.0946839605e-02        -1.5255990455e+01         6.8869346966e-01         6.8869346966e-01
1.3521825181          6.7876446381e-03          6.7876446381e-03        -1.4478545489e+01         7.2865527292e-01         7.2865527292e-01
1.3541084391          2.6124117031e-03          2.6124117031e-03        -1.4719173516e+01         8.2202021104e-01         8.2202021104e-01
1.3560258572         -1.5464160837e-03         -1.5464160837e-03        -1.4563151478e+01         1.0000000000e+00         1.0000000000e+00
1.3579348470         -5.6566483118e-03         -5.6566483118e-03        -1.5337237664e+01         8.1885339549e-02         8.1885339549e-02
1.3598354823         -9.6865979074e-03         -9.6865979074e-03        -1.4769217411e+01         4.1170091337e-01         4.1170091337e-01
1.3617278360         -1.3605328015e-02         -1.3605328015e-02        -1.5894478761e+01         4.8779604042e-01         4.8779604042e-01
1.3636119799         -1.7382893137e-02         -1.7382893137e-02        -1.5523770550e+01         5.2187924391e-01         5.2187924391e-01
1.3654879849         -2.0990572589e-02         -2.0990572589e-02        -1.5781764034e+01         5.4125659651e-01         5.4125659651e-01
1.3673559210         -2.4401094363e-02         -2.4401094363e-02        -1.6148179049e+01         5.5370236627e-01         5.5370236627e-01
1.3692158574         -2.7588847584e-02         -2.7588847584e-02        -1.6201503304e+01         5.6227166715e-01         5.6227166715e-01
1.3710678623         -3.0530081817e-02         -3.0530081817e-02        -1.5643437721e+01         5.6840689276e-01         5.6840689276e-01
1.3729120030         -3.3203091586e-02         -3.3203091586e-02        -1.5378858281e+01         5.7287474857e-01         5.7287474857e-01
